date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-04-03,2357,2543648,1075384921,420.5,425.5,419.5,422.5,-0.5,2353
2024-04-08,2357,1790896,760536608,420.5,427.0,420.0,426.0,3.5,2385
2024-04-09,2357,2144933,910793983,423.5,426.5,422.5,425.0,-1.0,2649
2024-04-10,2357,4973627,2188404469,433.0,446.5,433.0,435.0,10.0,6190
2024-04-11,2357,6292866,2799884535,438.0,455.0,429.5,453.5,18.5,7765
2024-04-12,2357,4649675,2069924815,448.0,448.5,442.5,443.5,-10.0,5686
2024-04-15,2357,2358397,1041307662,440.0,446.0,438.5,440.5,-3.0,3042
2024-04-16,2357,4138618,1772897085,436.0,437.0,425.0,425.5,-15.0,7499
2024-04-17,2357,2931144,1256217929,429.5,431.5,425.5,428.5,3.0,3208
2024-04-18,2357,3145285,1344155205,425.5,430.0,423.5,427.0,-1.5,2704
2024-04-19,2357,4740351,1969326799,422.5,425.0,407.0,413.5,-13.5,5701
2024-04-22,2357,2220515,919683205,415.5,419.5,411.5,413.5,0.0,2511
2024-04-23,2357,2864147,1175814598,415.0,418.5,406.5,409.5,-4.0,3687
2024-04-24,2357,2219187,930191644,415.5,422.0,414.0,420.5,11.0,2489
2024-04-25,2357,2324837,960056531,413.5,415.5,410.0,412.0,-8.5,2590
2024-04-26,2357,2391393,1003751326,412.5,422.5,412.5,419.0,7.0,2629
2024-04-29,2357,1967981,836783833,420.5,426.5,420.5,426.0,7.0,2378
2024-04-30,2357,2435305,1050488135,425.0,434.5,425.0,430.0,4.0,2715
2024-05-02,2357,2850793,1222263831,427.0,432.0,426.5,427.5,-2.5,2925
2024-05-03,2357,2285854,985107786,431.5,435.0,428.5,429.0,1.5,2559
2024-05-06,2357,4435448,1965992782,433.5,451.5,433.0,448.5,19.5,5833
2024-05-07,2357,7667172,3530137399,452.5,466.0,451.5,460.0,11.5,8676
2024-05-08,2357,5157165,2356869737,456.0,461.5,452.5,458.5,-1.5,4606
2024-05-09,2357,8520377,4056874325,460.5,483.0,460.0,475.0,16.5,10778
2024-05-10,2357,4807279,2250958557,473.0,474.5,464.0,470.5,-4.5,7659
2024-05-13,2357,3221794,1499920845,473.0,476.0,459.0,466.0,-4.5,9306
2024-05-14,2357,22311557,11355280488,510.0,512.0,495.5,512.0,46.0,20043
2024-05-15,2357,11119531,5610290180,513.0,517.0,495.5,498.0,-14.0,19975
2024-05-16,2357,10300118,5271145358,505.0,520.0,500.0,516.0,18.0,12112
2024-05-17,2357,6650888,3391198510,510.0,516.0,502.0,516.0,0.0,7662
2024-05-20,2357,8350700,4229913915,518.0,521.0,501.0,506.0,-10.0,8882
2024-05-21,2357,10595451,5182909514,503.0,505.0,483.0,489.0,-17.0,13887
2024-05-22,2357,20479299,10602181920,499.5,535.0,493.0,522.0,33.0,19928
2024-05-23,2357,13864748,7194730610,531.0,531.0,512.0,520.0,-2.0,13727
2024-05-24,2357,10945610,5639258744,508.0,524.0,503.0,519.0,-1.0,9656
2024-05-27,2357,14477961,7665566473,528.0,540.0,517.0,540.0,21.0,12561
2024-05-28,2357,15151879,7933543642,535.0,536.0,517.0,527.0,-13.0,15151
2024-05-29,2357,9830713,5128289191,523.0,526.0,513.0,524.0,-3.0,8203
2024-05-30,2357,11596152,5942945737,515.0,516.0,508.0,515.0,-9.0,11436
2024-05-31,2357,15312627,7838702490,517.0,517.0,507.0,513.0,-2.0,7734
2024-06-03,2357,7718574,3944815301,522.0,527.0,508.0,509.0,-4.0,7933
2024-06-04,2357,10194070,5069693776,508.0,509.0,491.5,496.0,-13.0,14319
2024-06-05,2357,6803658,3328920081,498.0,499.0,486.5,488.5,-7.5,10161
2024-06-06,2357,3784212,1875208510,495.0,500.0,491.5,493.0,4.5,5012
2024-06-07,2357,6319664,3052824376,493.0,494.0,477.0,484.0,-9.0,9925
2024-06-11,2357,3220619,1549335334,484.0,486.0,478.0,481.5,-2.5,4879
2024-06-12,2357,4399508,2110760164,480.0,484.5,477.0,480.5,-1.0,6492
2024-06-13,2357,6131878,2984713653,480.5,491.5,478.0,487.0,6.5,7196
2024-06-14,2357,3928697,1935731179,495.0,496.0,490.0,493.5,6.5,4638
2024-06-17,2357,2097741,1030325983,493.5,495.0,489.0,489.0,-4.5,3355
2024-06-18,2357,3628073,1797127218,492.0,497.5,490.5,496.0,7.0,4127
2024-06-19,2357,4302172,2161264273,498.0,508.0,495.5,502.0,6.0,5696
2024-06-20,2357,3407817,1743246089,505.0,516.0,504.0,512.0,10.0,5204
2024-06-21,2357,4524601,2325359051,507.0,518.0,505.0,512.0,0.0,4481
2024-06-24,2357,3879152,1991139162,514.0,518.0,508.0,513.0,1.0,4655
2024-06-25,2357,4711311,2376846208,510.0,511.0,500.0,506.0,-7.0,7566
2024-06-26,2357,2883018,1459063471,503.0,512.0,501.0,506.0,0.0,5759
2024-06-27,2357,3640600,1825008187,501.0,506.0,496.0,503.0,-3.0,6262
2024-06-28,2357,3559232,1780519869,501.0,504.0,498.0,498.0,-5.0,4077
2024-07-01,2357,3307473,1646248774,502.0,502.0,494.5,495.5,-2.5,4472
2024-07-02,2357,5012690,2455753164,492.0,493.5,486.0,490.0,-5.5,6730
2024-07-03,2357,12414859,5879387497,470.0,480.5,465.0,479.5,0.0,13066
2024-07-04,2357,4468597,2174067434,482.0,492.5,481.0,482.0,2.5,5217
2024-07-05,2357,2396974,1160456731,484.0,486.0,482.5,483.0,1.0,2932
2024-07-08,2357,1866185,904282288,484.0,488.0,480.0,486.0,3.0,2923
2024-07-09,2357,2202067,1071171260,489.5,490.0,483.5,486.5,0.5,3096
2024-07-10,2357,10329536,5235094600,506.0,514.0,495.0,508.0,21.5,10468
2024-07-11,2357,5015992,2580404141,510.0,522.0,506.0,513.0,5.0,5790
2024-07-12,2357,3343183,1707074263,517.0,517.0,507.0,509.0,-4.0,3959
2024-07-15,2357,3023368,1512263088,513.0,514.0,495.0,498.5,-10.5,7405
2024-07-16,2357,1799516,895981734,496.0,502.0,492.5,502.0,3.5,2967
2024-07-17,2357,2383987,1180418063,500.0,502.0,491.5,493.5,-8.5,4204
2024-07-18,2357,3139221,1546825907,489.0,496.5,486.0,494.5,1.0,3691
2024-07-19,2357,2700742,1308848804,493.5,494.5,481.0,481.5,-13.0,5290
2024-07-22,2357,3684454,1714430276,480.0,480.5,459.5,468.0,-13.5,6174
2024-07-23,2357,1945840,926312967,472.0,479.0,472.0,478.5,10.5,2640
2024-07-26,2357,6350126,2897116481,471.0,472.0,447.5,458.0,-20.5,10200
2024-07-29,2357,3884384,1747956970,461.5,461.5,443.0,444.5,-13.5,6182
2024-07-30,2357,4274431,1878657264,444.0,447.0,433.0,447.0,2.5,6057
2024-07-31,2357,4042604,1831696282,445.0,457.0,443.0,456.0,9.0,3803
2024-08-01,2357,7362347,3562279869,470.0,492.0,469.0,492.0,36.0,8393
2024-08-02,2357,5405957,2584018294,478.5,487.0,468.0,472.0,-20.0,7213
2024-08-05,2357,5481741,2385511623,450.0,452.5,426.0,433.0,-39.0,7771
2024-08-06,2357,4956189,2161478518,454.5,454.5,422.0,435.5,2.5,6086
2024-08-07,2357,6119714,2826656663,433.5,473.5,433.0,469.5,34.0,6799
2024-08-08,2357,16971668,8554121108,509.0,513.0,494.5,502.0,32.5,16292
2024-08-09,2357,8598335,4352759625,509.0,511.0,497.0,505.0,3.0,8944
2024-08-12,2357,4870950,2439289949,507.0,512.0,496.5,499.0,-6.0,12125
2024-08-13,2357,4029381,2016620425,501.0,509.0,496.0,500.0,1.0,12218
2024-08-14,2357,4911371,2491494589,506.0,511.0,500.0,510.0,10.0,5833
2024-08-15,2357,3737470,1919020107,512.0,518.0,505.0,513.0,3.0,4996
2024-08-16,2357,3248019,1681263803,522.0,522.0,515.0,519.0,6.0,4108
2024-08-19,2357,3370248,1768956360,521.0,531.0,516.0,524.0,5.0,5111
2024-08-20,2357,3585437,1871763321,523.0,525.0,518.0,519.0,-5.0,4010
2024-08-21,2357,3279893,1696832462,524.0,524.0,511.0,517.0,-2.0,4816
2024-08-22,2357,1466783,757364210,518.0,520.0,513.0,518.0,1.0,2040
